Date,Point,Name,LULC_29_9_,Desc,Soil_Data_,Soil Type,xcoord,ycoord,Depth,MMRI,Bulk_density,Vol_Lab,Porosity,SMC_probe
4/12/2025,F3_30,F3,Barren Land,Thatha,3,Andosols,36.8661051,-0.407722,30,0.15,1.165537866,0.412007588,0.56017439,0.273099581
14/12/2025,J_30,J,Barren Land,to Nyaribo,10,Rhodic Nitisols,36.9798124,-0.384618414,30,0.16,1.2259471,0.338489264,0.537378453,0.418
26/11/2025,L3_30,L3,Crop Land,mixed crops,6,Cambisols,36.90530324,-0.405303706,30,0.15,0.990430163,0.405878928,0.626252769,0.347932914
24/11/2025,M_30,M,Barren Land,BR to short grass (RL),19,Vertisols,36.9231177,-0.3517186,30,0.19,1.303452804,0.312274469,0.508131018,0.323266247
25/11/2025,N_30,N,Forest Land,next to Aberdares,19,Nitisols,36.9080169,-0.3645039,30,0.44,1.104243982,0.327065109,0.583304158,0.299266247
26/11/2025,N3_30,N3,Crop Land,"Coffee, Hill Farm",20,Phaeozems,36.9155525,-0.4014252,30,0.22,0.842001706,0.270361931,0.682263507,0.242266247
4/12/2025,P_30,P,Crop Land,"mixed cropping, shades, Munyoroku",19,Nitisols,36.90224982,-0.379839494,30,0.24,1.128882604,0.346971941,0.574006564,0.357766247
26/11/2025,Q_30,Q,Range Land,"short grass, Kihuyo",19,Nitisols,36.9071706,-0.3865232,30,0.23,1.150930963,0.2973054,0.565686429,0.277766247
12/10/2025,R_30,R,Crop Land,"mixed cropping, across the slope, Muringato",19,Nitisols,36.9492931,-0.4059012,30,0.56,1.095396405,0.262985413,0.586642866,0.319833333
20/11/2025,S_30,S,Wet Land,near river bank,20,Phaeozems,36.9137475,-0.3372657,30,0.13,1.025709858,0.684581051,0.612939676,0.656099581
25/11/2025,T_30,T,Built up Land,"Building and road reserve, murramed",10,Vertisols,36.9387643,-0.3380404,30,0.14,1.58328702,0.278585707,0.4025332,0.267083334
4/12/2025,V_30,V,Crop Land,"Tea, Hill Farm",19,Nitisols,36.9095152,-0.3958077,30,0.2,0.910227702,0.393426844,0.656517848,0.310932914
23/11/2025,X_30,X,Crop Land,Tea,19,Nitisols,36.89378426,-0.394910906,30,0.23,1.006362603,0.347310124,0.620240527,0.265932914
23/11/2025,Y_30,Y,Forest Land,"Under Canopy, beside road reserve",3,Andosols,36.8749448,-0.3961483,30,0.25,1.195042817,0.427684456,0.549040446,0.173599581
12/10/2025,Z_30,Z,Crop Land,Tea,3,Andosols,36.85847452,-0.399441872,30,0.24,0.98716819,0.325649992,0.627483702,0.281666667
23/11/2025,D3_40,D3,Crop Land,"Maize, beans",19,Nitisols,36.87733794,-0.41077175,40,0.3,0.952414722,0.359512551,0.640598218,0.19674184
4/12/2025,F3_40,F3,Barren Land,Thatha,3,Andosols,36.8661051,-0.407722,40,0.2,1.210316227,0.403501955,0.543276895,0.283408507
14/12/2025,J_40,J,Barren Land,to Nyaribo,10,Rhodic Nitisols,36.9798124,-0.384618414,40,0.22,1.358704946,0.348276872,0.487281152,0.454333333
26/11/2025,L3_40,L3,Crop Land,mixed crops,6,Cambisols,36.90530324,-0.405303706,40,0.14,1.071648354,0.417569827,0.595604395,0.326575173
24/11/2025,M_40,M,Barren Land,BR to short grass (RL),19,Vertisols,36.9231177,-0.3517186,40,0.23,1.418284867,0.347369679,0.464798164,0.37674184
25/11/2025,N_40,N,Forest Land,next to Aberdares,19,Nitisols,36.9080169,-0.3645039,40,0.49,1.151111947,0.330597144,0.565618133,0.36574184
26/11/2025,N3_40,N3,Crop Land,"Coffee, Hill Farm",20,Phaeozems,36.9155525,-0.4014252,40,0.3,0.953722546,0.334913818,0.6401047,0.249075173
4/12/2025,P_40,P,Crop Land,"mixed cropping, shades, Munyoroku",19,Nitisols,36.90224982,-0.379839494,40,0.26,1.126483401,0.316662053,0.574911924,0.323833333
26/11/2025,Q_40,Q,Range Land,"short grass, Kihuyo",19,Nitisols,36.9071706,-0.3865232,40,0.26,1.110828928,0.312716527,0.580819272,0.372166667
12/10/2025,R_40,R,Crop Land,"mixed cropping, across the slope, Muringato",19,Nitisols,36.9492931,-0.4059012,40,0.6,1.064660921,0.278957261,0.598241162,0.282
20/11/2025,S_40,S,Wet Land,near river bank,20,Phaeozems,36.9137475,-0.3372657,40,0.08,1.026766584,0.673087961,0.612540912,0.669075173
25/11/2025,T_40,T,Built up Land,"Building and road reserve, murramed",10,Vertisols,36.9387643,-0.3380404,40,0.13,1.309098104,0.382229169,0.394658507,0.394658507
4/12/2025,V_40,V,Crop Land,"Tea, Hill Farm",19,Nitisols,36.9095152,-0.3958077,40,0.24,1.043999975,0.410472753,0.606037745,0.322075173
23/11/2025,X_40,X,Crop Land,Tea,19,Nitisols,36.89378426,-0.394910906,40,0.23,1.156985591,0.399178045,0.563401664,0.275908507
23/11/2025,Y_40,Y,Forest Land,"Under Canopy, beside road reserve",3,Andosols,36.8749448,-0.3961483,40,0.33,1.063766529,0.379760744,0.598578668,0.267908507
12/10/2025,Z_40,Z,Crop Land,Tea,3,Andosols,36.85847452,-0.399441872,40,0.25,0.964596008,0.332313083,0.636001506,0.335666667
22/10/2025,A_10,A,Range Land,"Short Grass, Tahmo Station",0,Acrisols,36.965733,-0.40388888,10,0.17,1.119229608,0.146497664,0.577649204,0.088166667
25/11/2025,A2_10,A2,Crop Land,"Miraa, Khat",10,Rhodic Nitisols,36.9453203,-0.3427627,10,0.13,1.158298611,0.205428662,0.562906184,0.222237133
22/10/2025,B_10,B,Crop Land,Fallow to Range Land,19,Nitisols,36.962685,-0.40752015,10,0.32,1.109521131,0.154424324,0.581312781,0.127
